0,1,2,3,4,5,6,7
62,LOSMEN KARAKATAU,LOSMEN,–,–,Jln.Karakatur No.16 P.Raya,Laundry,–
63,WANGGA BELA HOME STAY,HOME STAY,6,6,Jln.Rajawali IIB P.Raya,"AC, TV,WIFI",–
64,WISMA MALAWEN,WISMA,23,23,Jln.Bukit Raya XVI P.Raya,"AC, TV,WIFI",–
65,WISMA WAGGA WAGGA,WISMA,–,–,Jln.Batu Suli No. 24,–,–
66,WISMA TULIP GUEST HOUSE,WISMA,–,–,Jln. Menteng IV,"Ruang Rapat,",0822-5171-0555
67,WISMA EKA SINTA,WISMA,8,8,Jln. Set Adji No 128,"TV, AC,Kipas Angin",–
68,WISMA WAGGA WAGGA,WISMA,11,16,Jln. Set Adji No,"TV, Lemari, AC,WIFI",–
69,WISMA GRAHA KANATA,WISMA,15,16,Jln.Nyai Udang,"AC, TV, WIFI, Air Panas,",–
70,WISMA EVANIA,WISMA,15,15,Jln.Tambun Raya No. 7 P.Raya,"AC,TV,WIFI",–
71,WISMA CEMPAKA,WISMA,8,8,Jln.Temanggung Tandang No.60.,"TV, Kipas Angin, AC",–
72,GRAND PATRIA,WISMA,13,13,Jln.Moris Ismail,"AC, TV,WIFI",–
73,WISMA INTAN,WISMA,8,8,Jln.Tambun Raya,"AC, TV,WIFI",–
74,RUMAH AMANDA,GUEST HOUSE,24,24,Jln.Beruk Anggis No.22,"TV,Lemari,AC,Kulkas, Meja Kerja, WIFI, Air Mandi Panas,",0536 3247632
75,HOTEL KALIMANTAN MEETING CENTER,–,–,–,Jln. Tjilik Riwut Km 36 P.Raya,"Ruang Rapat, Restorant, Kolam Renang, Laundry",0536-3333878/08115208801
76,HOTEL GREEN HOUSE ASRI,–,10,10,Jln. Mahir Mahar,–,–
,,JUMLAH,2383,3034,,,
,,,,,,,
,,,,,,,
,JUMLAH HOTEL :,76,,,,,
,JUMLAH KAMAR :,2383,,,,,
,JUMLAH TEMPAT TIDUR :,3034,,,,,
