parent_id,judul,tipe_dokumen,kelompok,kategori,sumber,tanggal,url_sumber,file_asal,file_upload,sha256,ukuran_byte,jumlah_baris_data,siap_upload
deskriptif__artikel_dan_berita__tahukah_anda_inilah_spot_sunset_yang_membuat_wisatawan_jatuh_cinta_pada_palangka_raya,Tahukah Anda? Inilah Spot Sunset yang Membuat Wisatawan Jatuh Cinta pada Palangka Raya,pdf,deskriptif,artikel_dan_berita,post,2026-06-24,https://disparbudpora.palangkaraya.go.id/tahukah-anda-inilah-spot-sunset-yang-membuat-wisatawan-jatuh-cinta-pada-palangka-raya/,deskriptif/artikel_dan_berita_pariwisata/tahukah_anda_inilah_spot_sunset_yang_membuat_wisatawan_jatuh_cinta_pada_palangka_raya.pdf,documents/deskriptif/artikel_dan_berita/tahukah_anda_inilah_spot_sunset_yang_membuat_wisatawan_jatuh_cinta_pada_palangka_raya.pdf,4d9fd5743df79cce1b1613bac2c8cbcb0c5849d9ab19ec5c586b75daaa368a55,5023,,ya
deskriptif__budaya_dan_cagar_budaya__mengenal_lilis_lamiang_warisan_leluhur_dayak_yang_tetap_bertahan_di_era_modern,Mengenal Lilis Lamiang: Warisan Leluhur Dayak yang Tetap Bertahan di Era Modern,pdf,deskriptif,budaya_dan_cagar_budaya,post,2026-06-22,https://disparbudpora.palangkaraya.go.id/mengenal-lilis-lamiang-warisan-leluhur-dayak-yang-tetap-bertahan-di-era-modern/,deskriptif/budaya_dan_cagar_budaya/mengenal_lilis_lamiang_warisan_leluhur_dayak_yang_tetap_bertahan_di_era_modern.pdf,documents/deskriptif/budaya_dan_cagar_budaya/mengenal_lilis_lamiang_warisan_leluhur_dayak_yang_tetap_bertahan_di_era_modern.pdf,ce07fd205b75ed0c68181f0234edaf3ff0a0b422188001388843f1abea7810ec,7643,,ya
deskriptif__artikel_dan_berita__bangun_kota_yang_nyaman_dan_indah_bidang_pariwisata_disparbudpora_ikuti_gerakan_asri,"Bangun Kota yang Nyaman dan Indah, Bidang Pariwisata DISPARBUDPORA Ikuti Gerakan ASRI",pdf,deskriptif,artikel_dan_berita,post,2026-06-21,https://disparbudpora.palangkaraya.go.id/bangun-kota-yang-nyaman-dan-indah-bidang-pariwisata-disparbudpora-ikuti-gerakan-asri/,deskriptif/artikel_dan_berita_pariwisata/bangun_kota_yang_nyaman_dan_indah_bidang_pariwisata_disparbudpora_ikuti_gerakan_asri.pdf,documents/deskriptif/artikel_dan_berita/bangun_kota_yang_nyaman_dan_indah_bidang_pariwisata_disparbudpora_ikuti_gerakan_asri.pdf,2896c95a03ceac128026fd9bbd291538d9e01d735e6b45dbd119d4a2592d5be0,6212,,ya
deskriptif__budaya_dan_cagar_budaya__menyelami_filosofi_batang_garing_ikon_budaya_yang_menjadi_jiwa_kalimantan_tengah,"Menyelami Filosofi Batang Garing, Ikon Budaya yang Menjadi Jiwa Kalimantan Tengah",pdf,deskriptif,budaya_dan_cagar_budaya,post,2026-06-15,https://disparbudpora.palangkaraya.go.id/menyelami-filosofi-batang-garing-ikon-budaya-yang-menjadi-jiwa-kalimantan-tengah/,deskriptif/budaya_dan_cagar_budaya/menyelami_filosofi_batang_garing_ikon_budaya_yang_menjadi_jiwa_kalimantan_tengah.pdf,documents/deskriptif/budaya_dan_cagar_budaya/menyelami_filosofi_batang_garing_ikon_budaya_yang_menjadi_jiwa_kalimantan_tengah.pdf,4314efad8ca74b2716d8a254d9b2b85b4dc22220608706ab171ae696d6e0069f,7270,,ya
deskriptif__budaya_dan_cagar_budaya__menjaga_warisan_leluhur_lawang_sakepeng_dayak_palangka_raya_jalani_verifikasi_wbtbi,Menjaga Warisan Leluhur: Lawang Sakepeng Dayak Palangka Raya Jalani Verifikasi WBTbI,pdf,deskriptif,budaya_dan_cagar_budaya,post,2026-06-13,https://disparbudpora.palangkaraya.go.id/menjaga-warisan-leluhur-lawang-sakepeng-dayak-palangka-raya-jalani-verifikasi-wbtbi/,deskriptif/budaya_dan_cagar_budaya/menjaga_warisan_leluhur_lawang_sakepeng_dayak_palangka_raya_jalani_verifikasi_wbtbi.pdf,documents/deskriptif/budaya_dan_cagar_budaya/menjaga_warisan_leluhur_lawang_sakepeng_dayak_palangka_raya_jalani_verifikasi_wbtbi.pdf,5934a835dda078df07219ab5bb40e0a725d4694db79cf35309356106b2180094,5631,,ya
deskriptif__artikel_dan_berita__perkuat_wisata_berbasis_konservasi_disparbudpora_hadiri_sosialisasi_fasilitas_gambut_sebangau,"Perkuat Wisata Berbasis Konservasi, DISPARBUDPORA Hadiri Sosialisasi Fasilitas Gambut Sebangau",pdf,deskriptif,artikel_dan_berita,post,2026-06-12,https://disparbudpora.palangkaraya.go.id/perkuat-wisata-berbasis-konservasi-disparbudpora-hadiri-sosialisasi-fasilitas-gambut-sebangau/,deskriptif/artikel_dan_berita_pariwisata/perkuat_wisata_berbasis_konservasi_disparbudpora_hadiri_sosialisasi_fasilitas_gambut_sebangau.pdf,documents/deskriptif/artikel_dan_berita/perkuat_wisata_berbasis_konservasi_disparbudpora_hadiri_sosialisasi_fasilitas_gambut_sebangau.pdf,d5cfb43cd32a8ee931c71adccef960c593f09477edc5e54f8c1a1cf66d967b1e,5590,,ya
deskriptif__budaya_dan_cagar_budaya__menjaga_identitas_dayak_verifikasi_wbtbi_kinyah_mandau_digelar_di_palangka_raya,Menjaga Identitas Dayak: Verifikasi WBTbI Kinyah Mandau Digelar di Palangka Raya,pdf,deskriptif,budaya_dan_cagar_budaya,post,2026-06-11,https://disparbudpora.palangkaraya.go.id/menjaga-identitas-dayak-verifikasi-wbtbi-kinyah-mandau-digelar-di-palangka-raya/,deskriptif/budaya_dan_cagar_budaya/menjaga_identitas_dayak_verifikasi_wbtbi_kinyah_mandau_digelar_di_palangka_raya.pdf,documents/deskriptif/budaya_dan_cagar_budaya/menjaga_identitas_dayak_verifikasi_wbtbi_kinyah_mandau_digelar_di_palangka_raya.pdf,2b629ed0a413ef040e2c725f0737ff58fee3ff7f8b866a4c6dda84ba3c5c321a,5817,,ya
deskriptif__budaya_dan_cagar_budaya__simbol_kehidupan_dan_pusaka_sakral_dayak_batang_haring_dan_lilis_lamiang_diuji_sebagai_wbtb_indonesia,"Simbol Kehidupan dan Pusaka Sakral Dayak, Batang Haring dan Lilis Lamiang Diuji sebagai WBTb Indonesia",pdf,deskriptif,budaya_dan_cagar_budaya,post,2026-06-10,https://disparbudpora.palangkaraya.go.id/simbol-kehidupan-dan-pusaka-sakral-dayak-batang-haring-dan-lilis-lamiang-diuji-sebagai-wbtb-indonesia/,deskriptif/budaya_dan_cagar_budaya/simbol_kehidupan_dan_pusaka_sakral_dayak_batang_haring_dan_lilis_lamiang_diuji_sebagai_wbtb_indonesia.pdf,documents/deskriptif/budaya_dan_cagar_budaya/simbol_kehidupan_dan_pusaka_sakral_dayak_batang_haring_dan_lilis_lamiang_diuji_sebagai_wbtb_indonesia.pdf,c6f906e805b5bde731863ee5bac8323ae8866c660bd4b8129625d9b3a18e9b17,6401,,ya
deskriptif__budaya_dan_cagar_budaya__menelusuri_huma_tugu_tuah_warisan_budaya_yang_menyimpan_sejarah_palangka_raya,Menelusuri Huma Tugu Tuah: Warisan Budaya yang Menyimpan Sejarah Palangka Raya,pdf,deskriptif,budaya_dan_cagar_budaya,post,2026-06-09,https://disparbudpora.palangkaraya.go.id/menelusuri-huma-tugu-tuah-warisan-budaya-yang-menyimpan-sejarah-palangka-raya/,deskriptif/budaya_dan_cagar_budaya/menelusuri_huma_tugu_tuah_warisan_budaya_yang_menyimpan_sejarah_palangka_raya.pdf,documents/deskriptif/budaya_dan_cagar_budaya/menelusuri_huma_tugu_tuah_warisan_budaya_yang_menyimpan_sejarah_palangka_raya.pdf,4493ce80e91267960628b57a67220f45385346bc1eec115cc7a6652988f28f76,7748,,ya
deskriptif__artikel_dan_berita__kota_cantik_yang_autentik_menemukan_sisi_lain_indonesia_di_jantung_borneo,Kota Cantik yang Autentik: Menemukan Sisi Lain Indonesia di Jantung Borneo,pdf,deskriptif,artikel_dan_berita,post,2026-06-07,https://disparbudpora.palangkaraya.go.id/kota-cantik-yang-autentik-menemukan-sisi-lain-indonesia-di-jantung-borneo/,deskriptif/artikel_dan_berita_pariwisata/kota_cantik_yang_autentik_menemukan_sisi_lain_indonesia_di_jantung_borneo.pdf,documents/deskriptif/artikel_dan_berita/kota_cantik_yang_autentik_menemukan_sisi_lain_indonesia_di_jantung_borneo.pdf,2eafc6c1d922e77c5ba9fd87a3eaf03cda8af8cea7b68e39691a9f713129eb6e,7613,,ya
