judul,jenis_output,fungsi_folder,url_sumber,file_output,alasan
OBYEK DIDUGA CAGAR BUDAYA,pdf_asli,deskriptif/halaman_informasi,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2022/03/OBYEK-YANG-DIDUGA-CAGAR-BUDAYA.pdf,d:\Nurdin\Skripsi Sheila\knowledge\deskriptif/halaman_informasi\dokumen_asli_pdf\obyek_yang_diduga_cagar_budaya.pdf,raw_source_pdf
OBYEK DIDUGA CAGAR BUDAYA,pdf_asli,deskriptif/halaman_informasi,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2022/03/OBYEK-YANG-DIDUGA-CAGAR-BUDAYA.pdf,d:\Nurdin\Skripsi Sheila\knowledge\deskriptif/halaman_informasi\dokumen_asli_pdf\obyek_yang_diduga_cagar_budaya.pdf,raw_source_pdf
DATA RESTORAN DAN RUMAH MAKAN DI KOTA PALANGKA RAYA,pdf_asli,tabular/direktori_restoran_dan_rumah_makan,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2022/02/DATA-RESTORAN-DAN-RUMAH-MAKAN-DI-KOTA-PALANGKA-RAYA.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/direktori_restoran_dan_rumah_makan\dokumen_asli_pdf\data_restoran_dan_rumah_makan_di_kota_palangka_raya.pdf,raw_source_pdf
DATA RESTORAN DAN RUMAH MAKAN DI KOTA PALANGKA RAYA,pdf_ringkasan,tabular/direktori_restoran_dan_rumah_makan,https://disparbudpora.palangkaraya.go.id/download-2/data-restoran-dan-rumah-makan-di-kota-palangka-raya/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/direktori_restoran_dan_rumah_makan\data_restoran_dan_rumah_makan_di_kota_palangka_raya.pdf,tabular_prefers_csv
DATA HOTEL DI KOTA PALANGKA RAYA,pdf_asli,tabular/direktori_hotel,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2022/02/DATA-HOTEL-DI-KOTA-PALANGKA-RAYA.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/direktori_hotel\dokumen_asli_pdf\data_hotel_di_kota_palangka_raya.pdf,raw_source_pdf
DATA HOTEL DI KOTA PALANGKA RAYA,pdf_asli,tabular/direktori_hotel,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2025/10/Data-Hotel-2024.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/direktori_hotel\dokumen_asli_pdf\data_hotel_2024.pdf,raw_source_pdf
DATA HOTEL DI KOTA PALANGKA RAYA,pdf_ringkasan,tabular/direktori_hotel,https://disparbudpora.palangkaraya.go.id/data-hotel-di-kota-palangka-raya/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/direktori_hotel\data_hotel_di_kota_palangka_raya.pdf,tabular_prefers_csv
DATA DESTINASI WISATA DI KOTA PALANGKA RAYA,pdf_asli,tabular/data_destinasi_wisata,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2022/02/DATA-DESTINASI-WISATA-DI-KOTA-PALANGKA-RAYA.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_destinasi_wisata\dokumen_asli_pdf\data_destinasi_wisata_di_kota_palangka_raya.pdf,raw_source_pdf
DATA DESTINASI WISATA DI KOTA PALANGKA RAYA,pdf_ringkasan,tabular/data_destinasi_wisata,https://disparbudpora.palangkaraya.go.id/download-2/data-destinasi-wisata-di-kota-palangka-raya/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_destinasi_wisata\data_destinasi_wisata_di_kota_palangka_raya.pdf,tabular_prefers_csv
BUKU PANDUAN PARIWISATA TAHUN 2019,pdf_asli,deskriptif/referensi_dan_kebijakan,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/dlm_uploads/2021/02/BUKU-PANDUAN-PARIWISATA-TAHUN-2019.pdf,d:\Nurdin\Skripsi Sheila\knowledge\deskriptif/referensi_dan_kebijakan\dokumen_asli_pdf\buku_panduan_pariwisata_tahun_2019.pdf,raw_source_pdf
Aktivitas Wisata,pdf_ringkasan,tabular/lainnya,https://disparbudpora.palangkaraya.go.id/aktivitas-wisata/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/lainnya\aktivitas_wisata.pdf,tabular_prefers_csv
SUMBER DAYA SKPD,csv,tabular/lainnya,https://disparbudpora.palangkaraya.go.id/sumber-daya-skpd/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/lainnya\sumber_daya_skpd_table_01_01.csv,dokumen_administratif
SUMBER DAYA SKPD,csv,tabular/lainnya,https://disparbudpora.palangkaraya.go.id/sumber-daya-skpd/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/lainnya\sumber_daya_skpd_table_02_01.csv,dokumen_administratif
SUMBER DAYA SKPD,pdf_ringkasan,tabular/lainnya,https://disparbudpora.palangkaraya.go.id/sumber-daya-skpd/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/lainnya\sumber_daya_skpd.pdf,dokumen_administratif
Download (RIPPARDA) Kota Palangka Raya Tahun 2017-2028,pdf_asli,deskriptif/halaman_informasi,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2022/02/Perda-Kota-Palangka-Raya-Nomor-11-Tahun-2017-Tentang-Rencana-Induk-pembangunan-Kepariwisataan-Kota-Palangka-Raya-Tahun-2017-2028.pdf,d:\Nurdin\Skripsi Sheila\knowledge\deskriptif/halaman_informasi\dokumen_asli_pdf\perda_kota_palangka_raya_nomor_11_tahun_2017_tentang_rencana_induk_pembangunan_kepariwisataan_kota_palangka_raya_tahun_2.pdf,raw_source_pdf
